"","player_name","season","recent_team","week","carries","receptions","touches","yards","tds","completions","passing_yards","passing_tds","interceptions","passing_2pt_conversions","special_teams_tds","two_point_conversions","fumbles"
"162","C.McCaffrey",2021,"CAR",1,21,9,30,187,0,0,0,0,0,0,0,0,0
"163","C.McCaffrey",2020,"CAR",1,23,3,26,135,2,0,0,0,0,0,0,0,0
"164","C.McCaffrey",2022,"CAR",1,10,4,14,57,1,0,0,0,0,0,0,0,0
"165","C.Moore",2022,"HOU",1,0,3,3,31,0,0,0,0,0,0,0,0,0
"166","C.Myarick",2022,"NYG",1,0,1,1,1,1,0,0,0,0,0,0,0,0
"167","C.Newton",2020,"NE",1,15,0,15,75,2,15,155,0,0,0,0,0,0
"168","C.Okonkwo",2022,"TEN",1,1,1,2,7,0,0,0,0,0,0,0,0,0
"169","C.Olave",2022,"NO",1,0,3,3,41,0,0,0,0,0,0,0,1,0
"170","C.Parkinson",2022,"SEA",1,0,2,2,43,1,0,0,0,0,0,0,0,0
"171","C.Patterson",2022,"ATL",1,22,3,25,136,1,0,0,0,0,0,0,0,0
"172","C.Patterson",2021,"ATL",1,7,2,9,67,0,0,0,0,0,0,0,0,0
"173","C.Patterson",2020,"CHI",1,4,1,5,31,0,0,0,0,0,0,0,0,0
"174","C.Ridley",2020,"ATL",1,1,9,10,129,2,0,0,0,0,0,0,0,0
"175","C.Ridley",2021,"ATL",1,0,5,5,51,0,0,0,0,0,0,0,0,0
"176","C.Rogers",2021,"TEN",1,0,4,4,62,0,0,0,0,0,0,0,0,0
"177","C.Rush",2022,"DAL",1,0,0,0,0,0,7,64,0,0,0,0,0,0
"178","C.Samuel",2022,"WAS",1,4,8,12,72,1,0,0,0,0,0,0,0,1
"179","C.Samuel",2020,"CAR",1,1,5,6,43,0,0,0,0,0,0,0,0,0
"180","C.Sims",2021,"WAS",1,0,1,1,17,0,0,0,0,0,0,0,0,0
"181","C.Sims",2022,"WAS",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","C.Streveler",2020,"ARI",1,1,0,1,3,0,0,0,0,0,0,0,0,0
"183","C.Sutton",2022,"DEN",1,0,4,4,72,0,0,0,0,0,0,0,0,0
"184","C.Sutton",2021,"DEN",1,0,1,1,14,0,0,0,0,0,0,0,0,0
"185","C.Thompson",2020,"JAX",1,0,2,2,6,0,0,0,0,0,0,0,0,0
"186","C.Uzomah",2020,"CIN",1,0,4,4,45,0,0,0,0,0,0,0,0,0
"187","C.Uzomah",2021,"CIN",1,0,2,2,35,0,0,0,0,0,0,0,0,0
"188","C.Watson",2022,"GB",1,1,2,3,41,0,0,0,0,0,0,0,0,0
"189","C.Wentz",2021,"IND",1,4,0,4,23,0,25,251,2,0,0,0,0,1
"190","C.Wentz",2022,"WAS",1,6,0,6,12,0,27,313,4,2,1,0,0,0
"191","C.Wentz",2020,"PHI",1,1,0,1,2,0,24,270,2,2,0,0,0,1
"192","C.Wilson",2022,"MIA",1,1,2,3,28,0,0,0,0,0,0,0,0,0
"193","C.Wilson",2021,"DAL",1,0,3,3,24,0,0,0,0,0,0,0,0,0
"194","D.Adams",2020,"GB",1,0,14,14,156,2,0,0,0,0,0,0,0,0
"195","D.Adams",2022,"LV",1,0,10,10,141,1,0,0,0,0,0,0,0,0
"196","D.Adams",2021,"GB",1,0,5,5,56,0,0,0,0,0,0,0,0,0
"197","D.Amendola",2020,"DET",1,0,5,5,81,0,0,0,0,0,0,0,0,0
"198","D.Amendola",2021,"HOU",1,0,5,5,34,1,0,0,0,0,0,0,0,0
"199","D.Arnold",2020,"ARI",1,0,2,2,21,0,0,0,0,0,0,0,0,0
"200","D.Arnold",2021,"CAR",1,0,2,2,6,0,0,0,0,0,0,0,0,0
"201","D.Booker",2020,"LV",1,4,3,7,52,0,0,0,0,0,0,0,0,0
"202","D.Booker",2021,"NYG",1,4,1,5,13,0,0,0,0,0,0,0,0,0
"203","D.Brees",2020,"NO",1,2,0,2,0,0,18,160,2,0,0,0,0,0
"204","D.Brown",2021,"WAS",1,0,1,1,-2,0,0,0,0,0,0,0,0,0
"205","D.Byrd",2021,"CHI",1,0,3,3,19,0,0,0,0,0,0,0,0,0
"206","D.Carr",2021,"LV",1,4,0,4,6,0,34,435,2,1,0,0,0,0
"207","D.Carr",2020,"LV",1,0,0,0,0,0,22,239,1,0,0,0,0,0
"208","D.Carr",2022,"LV",1,0,0,0,0,0,22,295,2,3,0,0,0,0
"209","D.Carter",2022,"LAC",1,0,3,3,64,1,0,0,0,0,0,0,0,0
"210","D.Carter",2020,"HOU",1,0,1,1,8,0,0,0,0,0,0,0,0,0
"211","D.Chark",2021,"JAX",1,0,3,3,86,1,0,0,0,0,0,0,0,0
"212","D.Chark",2022,"DET",1,0,4,4,52,1,0,0,0,0,0,0,0,0
"213","D.Chark",2020,"JAX",1,0,3,3,25,1,0,0,0,0,0,0,0,0
"214","D.Cook",2022,"MIN",1,20,3,23,108,0,0,0,0,0,0,0,0,0
"215","D.Cook",2021,"MIN",1,20,6,26,104,1,0,0,0,0,0,0,0,1
"216","D.Cook",2020,"MIN",1,12,1,13,48,2,0,0,0,0,0,0,2,0
"217","D.Dallas",2021,"SEA",1,1,1,2,10,0,0,0,0,0,0,0,0,0
"218","D.Duvernay",2022,"BAL",1,0,4,4,54,2,0,0,0,0,0,0,0,0
"219","D.Duvernay",2020,"BAL",1,0,1,1,12,0,0,0,0,0,0,0,0,0
"220","D.Duvernay",2021,"BAL",1,0,1,1,6,0,0,0,0,0,0,0,0,0
"221","D.Eskridge",2021,"SEA",1,2,1,3,28,0,0,0,0,0,0,0,0,0
"222","D.Eskridge",2022,"SEA",1,0,1,1,0,0,0,0,0,0,0,0,0,0
"223","D.Fells",2020,"HOU",1,0,2,2,19,0,0,0,0,0,0,0,0,0
"224","D.Fells",2021,"DET",1,0,1,1,2,0,0,0,0,0,0,0,0,0
"225","D.Felton",2022,"CLE",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"226","D.Foreman",2022,"CAR",1,2,0,2,5,0,0,0,0,0,0,0,0,0
"227","D.Goedert",2020,"PHI",1,0,8,8,101,1,0,0,0,0,0,0,0,0
"228","D.Goedert",2022,"PHI",1,0,3,3,60,0,0,0,0,0,0,0,0,0
"229","D.Goedert",2021,"PHI",1,0,4,4,42,1,0,0,0,0,0,0,0,0
"230","D.Hamilton",2020,"DEN",1,0,1,1,18,0,0,0,0,0,0,0,0,0
"231","D.Harris",2021,"NE",1,23,2,25,117,0,0,0,0,0,0,0,0,1
"232","D.Harris",2022,"NE",1,9,2,11,58,0,0,0,0,0,0,0,0,0
"233","D.Harris",2020,"CHI",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"234","D.Harris",2021,"ARI",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"235","D.Harty",2021,"NO",1,0,2,2,72,1,0,0,0,0,0,0,0,0
"236","D.Harty",2020,"NO",1,1,1,2,26,0,0,0,0,0,0,0,0,0
"237","D.Harty",2022,"NO",1,0,1,1,4,0,0,0,0,0,0,0,0,0
"238","D.Haskins",2020,"WAS",1,7,0,7,17,0,17,178,1,0,0,0,0,0
"239","D.Henderson",2021,"LA",1,16,1,17,87,1,0,0,0,0,0,0,0,0
"240","D.Henderson",2022,"LA",1,13,5,18,73,0,0,0,0,0,0,0,0,0
"241","D.Henderson",2020,"LA",1,3,0,3,6,0,0,0,0,0,0,0,0,0
"242","D.Henry",2020,"TEN",1,31,3,34,131,0,0,0,0,0,0,0,0,0
"243","D.Henry",2022,"TEN",1,21,0,21,82,0,0,0,0,0,0,0,0,0
"244","D.Henry",2021,"TEN",1,17,3,20,77,0,0,0,0,0,0,0,0,0
"245","D.Hilliard",2022,"TEN",1,2,3,5,69,2,0,0,0,0,0,0,0,0
"246","D.Hopkins",2020,"ARI",1,0,14,14,151,0,0,0,0,0,0,0,0,0
"247","D.Hopkins",2021,"ARI",1,0,6,6,83,2,0,0,0,0,0,0,0,0
"248","D.Houston",2022,"DAL",1,0,2,2,16,0,0,0,0,0,0,0,0,0
"249","D.Inman",2020,"WAS",1,0,2,2,21,0,0,0,0,0,0,0,0,0
"250","D.Jackson",2020,"PHI",1,0,2,2,46,0,0,0,0,0,0,0,0,0
"251","D.Jackson",2021,"LA",1,0,2,2,21,0,0,0,0,0,0,0,0,0
"252","D.Johnson",2020,"HOU",1,11,3,14,109,1,0,0,0,0,0,0,0,0
"253","D.Johnson",2020,"PIT",1,0,6,6,57,0,0,0,0,0,0,0,0,0
"254","D.Johnson",2022,"PIT",1,0,7,7,55,0,0,0,0,0,0,0,0,0
"255","D.Johnson",2021,"PIT",1,0,5,5,36,1,0,0,0,0,0,0,0,0
"256","D.Johnson",2021,"HOU",1,3,3,6,28,1,0,0,0,0,0,0,0,0
"257","D.Johnson",2020,"HOU",1,5,0,5,14,0,0,0,0,0,0,0,0,0
"258","D.Johnson",2020,"CLE",1,1,0,1,5,0,0,0,0,0,0,0,0,0
"259","D.Jones",2021,"NYG",1,6,0,6,27,1,22,267,1,0,0,0,0,1
"260","D.Jones",2022,"NYG",1,6,0,6,25,0,17,188,2,1,1,0,0,1
"261","D.Jones",2020,"NYG",1,4,0,4,22,0,26,279,2,2,0,0,0,0
"262","D.Knox",2021,"BUF",1,0,4,4,41,0,0,0,0,0,0,0,0,0
"263","D.Knox",2020,"BUF",1,0,2,2,26,0,0,0,0,0,0,0,0,0
"264","D.Knox",2022,"BUF",1,0,1,1,5,0,0,0,0,0,0,0,0,0
"265","D.Lewis",2020,"NYG",1,1,0,1,1,0,0,0,0,0,0,0,0,0
"266","D.Lock",2020,"DEN",1,3,0,3,5,0,22,216,1,0,0,0,0,0
"267","D.London",2022,"ATL",1,0,5,5,74,0,0,0,0,0,0,0,0,0
"268","D.Metcalf",2020,"SEA",1,0,4,4,95,1,0,0,0,0,0,0,0,0
"269","D.Metcalf",2021,"SEA",1,0,4,4,60,1,0,0,0,0,0,0,0,0
"270","D.Metcalf",2022,"SEA",1,0,7,7,36,0,0,0,0,0,0,0,0,1
"271","D.Mills",2022,"HOU",1,2,0,2,-1,0,23,240,2,0,0,0,0,1
"272","D.Milne",2022,"WAS",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"273","D.Mims",2021,"NYJ",1,0,1,1,40,0,0,0,0,0,0,0,0,0
"274","D.Montgomery",2021,"CHI",1,16,1,17,118,1,0,0,0,0,0,0,0,0
"275","D.Montgomery",2020,"CHI",1,13,1,14,74,0,0,0,0,0,0,0,0,0
"276","D.Montgomery",2022,"CHI",1,17,3,20,50,0,0,0,0,0,0,0,0,0
"277","D.Mooney",2020,"CHI",1,0,3,3,38,0,0,0,0,0,0,0,0,0
"278","D.Mooney",2021,"CHI",1,0,5,5,26,0,0,0,0,0,0,0,0,0
"279","D.Mooney",2022,"CHI",1,0,1,1,8,0,0,0,0,0,0,0,0,0
"280","D.Moore",2021,"CAR",1,1,6,7,94,0,0,0,0,0,0,0,0,0
"281","D.Moore",2020,"CAR",1,0,4,4,54,0,0,0,0,0,0,0,0,0
"282","D.Moore",2022,"CAR",1,1,3,4,50,0,0,0,0,0,0,0,0,0
"283","D.Moore",2020,"SEA",1,1,3,4,40,0,0,0,0,0,0,0,0,0
"284","D.Njoku",2021,"CLE",1,0,3,3,76,0,0,0,0,0,0,0,0,0
"285","D.Njoku",2020,"CLE",1,0,3,3,50,1,0,0,0,0,0,0,0,0
"286","D.Njoku",2022,"CLE",1,0,1,1,7,0,0,0,0,0,0,0,0,0
"287","D.Parham",2021,"LAC",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"288","D.Parker",2021,"MIA",1,0,4,4,81,0,0,0,0,0,0,0,0,0
"289","D.Parker",2020,"MIA",1,0,4,4,47,0,0,0,0,0,0,0,0,0
